[DEBUG] 2021-12-08 11:11:03.697 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-08 11:11:03.701 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-08 11:11:03.705 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-08 11:11:03.762 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-08 11:11:03.764 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-08 11:11:03.889 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-12-08 11:11:03.890 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-12-08 11:11:03.894 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-08 11:11:04.096 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-08 11:11:04.112 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-08 11:11:04.113 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-08 11:11:04.130 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-08 11:11:04.158 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@52e04737
[DEBUG] 2021-12-08 11:11:04.158 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@52e04737
[DEBUG] 2021-12-08 11:11:04.158 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@52e04737
[DEBUG] 2021-12-08 11:11:04.158 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4674d90
[DEBUG] 2021-12-08 11:11:04.159 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@b606cb6
[DEBUG] 2021-12-08 11:11:04.159 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@38bb9d7a
[DEBUG] 2021-12-08 11:11:04.161 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b9396d3
[DEBUG] 2021-12-08 11:11:04.161 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b9396d3
[DEBUG] 2021-12-08 11:11:04.161 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5b9396d3
[DEBUG] 2021-12-08 11:11:04.162 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2d9dff65
[DEBUG] 2021-12-08 11:11:04.162 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2d9dff65
