[DEBUG] 2021-12-08 11:55:32.127 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-08 11:55:32.131 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-08 11:55:32.135 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-08 11:55:32.196 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-08 11:55:32.198 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-08 11:55:32.327 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-12-08 11:55:32.328 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-12-08 11:55:32.332 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-08 11:55:32.511 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-08 11:55:32.528 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-08 11:55:32.529 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-08 11:55:32.545 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-08 11:55:32.576 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@52e04737
[DEBUG] 2021-12-08 11:55:32.576 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@52e04737
[DEBUG] 2021-12-08 11:55:32.576 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@52e04737
[DEBUG] 2021-12-08 11:55:32.577 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4674d90
[DEBUG] 2021-12-08 11:55:32.577 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@b606cb6
[DEBUG] 2021-12-08 11:55:32.577 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@38bb9d7a
[DEBUG] 2021-12-08 11:55:32.578 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b9396d3
[DEBUG] 2021-12-08 11:55:32.579 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b9396d3
[DEBUG] 2021-12-08 11:55:32.579 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5b9396d3
[DEBUG] 2021-12-08 11:55:32.580 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2d9dff65
[DEBUG] 2021-12-08 11:55:32.580 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2d9dff65
[DEBUG] 2021-12-08 11:55:32.580 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2d9dff65
[DEBUG] 2021-12-08 11:55:32.581 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6eb17ec8
[DEBUG] 2021-12-08 11:55:32.581 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6eb17ec8
[DEBUG] 2021-12-08 11:55:32.582 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6eb17ec8
[DEBUG] 2021-12-08 11:55:32.582 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4beaf6bd
[DEBUG] 2021-12-08 11:55:32.582 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4beaf6bd
[DEBUG] 2021-12-08 11:55:32.583 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4beaf6bd
[DEBUG] 2021-12-08 11:55:32.584 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@48528634
[DEBUG] 2021-12-08 11:55:32.584 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@48528634
[DEBUG] 2021-12-08 11:55:32.584 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@48528634
[DEBUG] 2021-12-08 11:55:32.585 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@660f0c
[DEBUG] 2021-12-08 11:55:32.585 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@660f0c
[DEBUG] 2021-12-08 11:55:32.585 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@660f0c
[DEBUG] 2021-12-08 11:55:32.586 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@35c12c7a
[DEBUG] 2021-12-08 11:55:32.586 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@35c12c7a
[DEBUG] 2021-12-08 11:55:32.586 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@35c12c7a
[DEBUG] 2021-12-08 11:55:32.587 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@17f2dd85
[DEBUG] 2021-12-08 11:55:32.587 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@17f2dd85
[DEBUG] 2021-12-08 11:55:32.588 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@5d43409a
[DEBUG] 2021-12-08 11:55:32.588 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@5d43409a
[DEBUG] 2021-12-08 11:55:32.589 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@51c959a4
[DEBUG] 2021-12-08 11:55:32.590 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@51c959a4
[DEBUG] 2021-12-08 11:55:32.590 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@60f70249
[DEBUG] 2021-12-08 11:55:32.591 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@46c269e0
[DEBUG] 2021-12-08 11:55:32.592 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@102ecc22
[DEBUG] 2021-12-08 11:55:32.592 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@102ecc22
[DEBUG] 2021-12-08 11:55:32.593 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2f236de0
[DEBUG] 2021-12-08 11:55:32.593 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2f236de0
[DEBUG] 2021-12-08 11:55:32.601 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@3dffc764
[DEBUG] 2021-12-08 11:55:32.601 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@3dffc764
[DEBUG] 2021-12-08 11:55:32.603 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1e7ab390
[DEBUG] 2021-12-08 11:55:32.603 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1e7ab390
[DEBUG] 2021-12-08 11:55:32.605 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@5460b754
[DEBUG] 2021-12-08 11:55:32.605 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@5460b754
[DEBUG] 2021-12-08 11:55:32.607 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@12fcc71f
[DEBUG] 2021-12-08 11:55:32.607 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@12fcc71f
[DEBUG] 2021-12-08 11:55:32.608 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@79b84841
[DEBUG] 2021-12-08 11:55:32.609 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@79b84841
[DEBUG] 2021-12-08 11:55:32.614 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@25ad4f71
